feature,chi2,p,n_target,n_reference
citizenship,6.689745505291749,0.009696904685172592,24,6
deaths,6.689745505291749,0.009696904685172592,24,6
reasons,6.689745505291749,0.009696904685172592,24,6
genuine,6.616305026078813,0.010104926411552695,26,7
goals,6.616305026078813,0.010104926411552695,26,7
adopt,6.568695687225718,0.010378798607854067,17,3
incidentally,6.568695687225718,0.010378798607854067,17,3
names,6.568695687225718,0.010378798607854067,17,3
notice,6.568695687225718,0.010378798607854067,17,3
resolved,6.568695687225718,0.010378798607854067,17,3
done,6.474941844253429,0.010940589368374387,61,26
defence,6.383477276662855,0.011518753849605212,71,32
trying,6.372253734948977,0.011591828577238283,76,35
bucha,6.371070644413024,0.011599559170411333,43,16
comments,6.3356677761161695,0.01183335553288778,19,4
ideology,6.3356677761161695,0.01183335553288778,19,4
precisely,6.3356677761161695,0.01183335553288778,19,4
understanding,6.3356677761161695,0.01183335553288778,19,4
reports,6.296789483654993,0.01209568448500864,41,15
completely,6.2281395090591225,0.012573577498281918,39,14
giving,6.22059638161226,0.012627257178086881,14,2
pipeline,6.22059638161226,0.012627257178086881,14,2
truly,6.22059638161226,0.012627257178086881,14,2
underscore,6.22059638161226,0.012627257178086881,14,2
anyone,6.188273630721987,0.01285995801017048,62,27
apparently,6.1850160066490965,0.012883653770792702,21,5
fighters,6.1850160066490965,0.012883653770792702,21,5
april,6.15150666625835,0.01313001976312067,55,23
seem,6.034550346893846,0.014028523765646672,31,10
make,6.021544621832073,0.014132272666668055,109,56
concerns,6.015992804522743,0.014176800604470574,29,9
aware,6.015506882866198,0.01418070476761546,27,8
saw,6.015506882866198,0.01418070476761546,27,8
dying,6.008224962185981,0.014239344449846758,11,1
fertilizer,6.008224962185981,0.014239344449846758,11,1
game,6.008224962185981,0.014239344449846758,11,1
glorification,6.008224962185981,0.014239344449846758,11,1
obstacles,6.008224962185981,0.014239344449846758,11,1
outlets,6.008224962185981,0.014239344449846758,11,1
pensions,6.008224962185981,0.014239344449846758,11,1
posed,6.008224962185981,0.014239344449846758,11,1
proxy,6.008224962185981,0.014239344449846758,11,1
ammonia,6.003823311965924,0.014274910907376426,10,0
arria,6.003823311965924,0.014274910907376426,10,0
clique,6.003823311965924,0.014274910907376426,10,0
extremists,6.003823311965924,0.014274910907376426,10,0
impression,6.003823311965924,0.014274910907376426,10,0
involving,6.003823311965924,0.014274910907376426,10,0
popular,6.003823311965924,0.014274910907376426,10,0
snipers,6.003823311965924,0.014274910907376426,10,0
talked,6.003823311965924,0.014274910907376426,10,0
transactions,6.003823311965924,0.014274910907376426,10,0
nazi,5.908529439685989,0.015067745056630666,42,16
interest,5.898126371351099,0.015157000023679812,16,3
training,5.898126371351099,0.015157000023679812,16,3
reason,5.840795519427674,0.015658745346808778,49,20
certain,5.750581894852024,0.016483196008286072,38,14
either,5.750581894852024,0.016483196008286072,38,14
true,5.750581894852024,0.016483196008286072,38,14
tragedy,5.742948585951888,0.016554978303086054,54,23
liberated,5.679879977542023,0.017160541649105965,36,13
draft,5.662253467070165,0.017333838061117435,74,35
information,5.6420319212637216,0.017534873834619935,114,60
arms,5.616129823107853,0.017795904353679837,34,12
