feature,chi2,p,n_target,n_reference
rest,0.3427269017273681,0.5582594158326989,121,0
targets,0.3427269017273681,0.5582594158326989,121,0
try,0.3427269017273681,0.5582594158326989,121,0
despite,0.34074792497700807,0.5593978232952064,395,0
australia,0.33989388984579383,0.5598904771084097,120,0
complete,0.33989388984579383,0.5598904771084097,120,0
increasingly,0.33989388984579383,0.5598904771084097,120,0
moreover,0.33989388984579383,0.5598904771084097,120,0
resolutions,0.33989388984579383,0.5598904771084097,120,0
causing,0.3370608872685089,0.561530666411381,119,0
credible,0.3370608872685089,0.561530666411381,119,0
de,0.3370608872685089,0.561530666411381,119,0
discuss,0.3370608872685089,0.561530666411381,119,0
either,0.3370608872685089,0.561530666411381,119,0
implementing,0.3370608872685089,0.561530666411381,119,0
polish,0.3370608872685089,0.561530666411381,119,0
information,0.3362239313405978,0.5620169922875136,393,0
better,0.3342278939954675,0.5631800925724395,118,0
observers,0.3342278939954675,0.5631800925724395,118,0
release,0.3342278939954675,0.5631800925724395,118,0
similar,0.3342278939954675,0.5631800925724395,118,0
cooperate,0.3313949100266237,0.5648388666684176,117,0
port,0.3313949100266237,0.5648388666684176,117,0
repeated,0.3313949100266237,0.5648388666684176,117,0
single,0.3313949100266237,0.5648388666684176,117,0
millions,0.32946000738163395,0.5659772284136677,390,0
persons,0.32946000738163395,0.5659772284136677,390,0
hand,0.3285619353619317,0.5665071020887249,116,0
inclusive,0.3285619353619317,0.5665071020887249,116,0
land,0.3285619353619317,0.5665071020887249,116,0
morning,0.3285619353619317,0.5665071020887249,116,0
multiple,0.3285619353619317,0.5665071020887249,116,0
pressure,0.3285619353619317,0.5665071020887249,116,0
situations,0.3285619353619317,0.5665071020887249,116,0
towns,0.3285619353619317,0.5665071020887249,116,0
heavy,0.32721134093533144,0.5673057838548567,389,0
week,0.32721134093533144,0.5673057838548567,389,0
august,0.3257289700013457,0.5681849146044894,115,0
putin’s,0.3257289700013457,0.5681849146044894,115,0
reform,0.3257289700013457,0.5681849146044894,115,0
across,0.32496570030353295,0.5686386119906871,388,0
billion,0.3228960139448198,0.5698724224403979,114,0
disregard,0.3228960139448198,0.5698724224403979,114,0
mediation,0.3228960139448198,0.5698724224403979,114,0
moldova,0.3228960139448198,0.5698724224403979,114,0
thirdly,0.3228960139448198,0.5698724224403979,114,0
unimpeded,0.3228960139448198,0.5698724224403979,114,0
families,0.3204835902605688,0.5713171697783084,386,0
settlement,0.3204835902605688,0.5713171697783084,386,0
aggressor,0.3200630671923083,0.5715697463493594,113,0
belarus,0.3200630671923083,0.5715697463493594,113,0
takes,0.3200630671923083,0.5715697463493594,113,0
zone,0.3200630671923083,0.5715697463493594,113,0
according,0.3182471683469071,0.5726629415247904,385,0
china,0.3182471683469071,0.5726629415247904,385,0
engagement,0.3172301297437652,0.573277009690133,112,0
flee,0.3172301297437652,0.573277009690133,112,0
limited,0.3172301297437652,0.573277009690133,112,0
mexico,0.3172301297437652,0.573277009690133,112,0
terrible,0.3172301297437652,0.573277009690133,112,0
thanking,0.3172301297437652,0.573277009690133,112,0
alarming,0.31439720159914475,0.5749943385080634,111,0
date,0.31439720159914475,0.5749943385080634,111,0
died,0.31439720159914475,0.5749943385080634,111,0
previous,0.31439720159914475,0.5749943385080634,111,0
shelter,0.31439720159914475,0.5749943385080634,111,0
thanks,0.31439720159914475,0.5749943385080634,111,0
told,0.31439720159914475,0.5749943385080634,111,0
deterioration,0.31156428275840115,0.5767218616190792,110,0
doubt,0.31156428275840115,0.5767218616190792,110,0
heating,0.31156428275840115,0.5767218616190792,110,0
resulted,0.31156428275840115,0.5767218616190792,110,0
stands,0.31156428275840115,0.5767218616190792,110,0
terrorists,0.31156428275840115,0.5767218616190792,110,0
weaponry,0.31156428275840115,0.5767218616190792,110,0
world’s,0.31156428275840115,0.5767218616190792,110,0
agree,0.30873137322148847,0.5784597106971168,109,0
build,0.30873137322148847,0.5784597106971168,109,0
address,0.30711236230574146,0.579457584581076,380,0
draft,0.30711236230574146,0.579457584581076,380,0
special,0.306750727418465,0.5796809471053168,830,1
closely,0.3058984729883609,0.5802080203651401,108,0
confrontation,0.3058984729883609,0.5802080203651401,108,0
higher,0.3058984729883609,0.5802080203651401,108,0
longer,0.3058984729883609,0.5802080203651401,108,0
remarks,0.3058984729883609,0.5802080203651401,108,0
reportedly,0.3058984729883609,0.5802080203651401,108,0
send,0.3058984729883609,0.5802080203651401,108,0
speakers,0.3058984729883609,0.5802080203651401,108,0
unconditionally,0.3058984729883609,0.5802080203651401,108,0
unjustified,0.3058984729883609,0.5802080203651401,108,0
vehicles,0.3058984729883609,0.5802080203651401,108,0
calm,0.3030655820589727,0.5819669282899435,107,0
chad,0.3030655820589727,0.5819669282899435,107,0
dam,0.3030655820589727,0.5819669282899435,107,0
japan,0.3030655820589727,0.5819669282899435,107,0
kremlin,0.3030655820589727,0.5819669282899435,107,0
sites,0.3030655820589727,0.5819669282899435,107,0
cent,0.30047022224330805,0.5835877837526364,377,0
atomic,0.300232700433278,0.5837365752809285,106,0
available,0.300232700433278,0.5837365752809285,106,0
convention,0.300232700433278,0.5837365752809285,106,0
finding,0.300232700433278,0.5837365752809285,106,0
honour,0.300232700433278,0.5837365752809285,106,0
norway,0.300232700433278,0.5837365752809285,106,0
rape,0.300232700433278,0.5837365752809285,106,0
something,0.300232700433278,0.5837365752809285,106,0
strongest,0.300232700433278,0.5837365752809285,106,0
wheat,0.300232700433278,0.5837365752809285,106,0
bear,0.2973998281112309,0.5855171053930617,105,0
explosive,0.2973998281112309,0.5855171053930617,105,0
maidan,0.2973998281112309,0.5855171053930617,105,0
