feature,chi2,p,n_target,n_reference
go,10.26658329456213,0.0013546143538168964,84,24
exported,10.210102017837709,0.001396734468496641,25,2
maritime,10.210102017837709,0.001396734468496641,25,2
tanks,10.210102017837709,0.001396734468496641,25,2
went,10.210102017837709,0.001396734468496641,25,2
morning,10.149077403986439,0.0014437347861967487,46,9
announced,10.138597763218494,0.0014519657289921994,54,12
abducted,10.03382033131639,0.0015369194376180229,17,0
eu's,10.03382033131639,0.0015369194376180229,17,0
heinous,10.03382033131639,0.0015369194376180229,17,0
intentionally,10.03382033131639,0.0015369194376180229,17,0
quote,10.03382033131639,0.0015369194376180229,17,0
russist,10.03382033131639,0.0015369194376180229,17,0
targeting,10.002788118144254,0.001563034071580982,88,26
relentless,9.999765700401644,0.0015656014340837965,28,3
nazis,9.999326046922102,0.0015659752490162493,21,1
streets,9.999326046922102,0.0015659752490162493,21,1
anyone,9.89503441348494,0.0016572535165848556,31,4
honour,9.89503441348494,0.0016572535165848556,31,4
residents,9.89503441348494,0.0016572535165848556,31,4
violate,9.89503441348494,0.0016572535165848556,31,4
behind,9.874770545336787,0.0016756049170387755,56,13
responsible,9.86879304872409,0.0016810574920604893,126,43
national,9.840896147711874,0.0017067432961932472,66,17
buildings,9.816493449113532,0.001729537759178723,48,10
condemn,9.74600141830302,0.0017971320246745748,119,40
alone,9.649743866056651,0.0018937798865577005,80,23
anything,9.644230407430477,0.001899472633336674,24,2
blocking,9.644230407430477,0.001899472633336674,24,2
mariupol,9.637234486357892,0.001906721027044811,87,26
ships,9.552444841881409,0.001996832776433921,42,8
prosecutor,9.51843487709516,0.002034179966211358,50,11
across,9.499815151860373,0.0020549259839464096,140,50
kherson,9.465674397006811,0.00209352452154965,98,31
brutality,9.450937915377736,0.0021104115535468537,27,3
reportedly,9.450937915377736,0.0021104115535468537,27,3
amounts,9.443557297543297,0.0021189211054123414,16,0
fellow,9.443557297543297,0.0021189211054123414,16,0
macedonia,9.443557297543297,0.0021189211054123414,16,0
rockets,9.443557297543297,0.0021189211054123414,16,0
stalin,9.443557297543297,0.0021189211054123414,16,0
vladimir,9.443557297543297,0.0021189211054123414,16,0
sovereign,9.432470084834042,0.002131769657914284,65,17
bravery,9.418325933470465,0.0021482755524941943,20,1
deprive,9.418325933470465,0.0021482755524941943,20,1
man,9.418325933470465,0.0021482755524941943,20,1
least,9.413898150137276,0.002153469265867236,91,28
horrors,9.37960795411037,0.002194124714681278,36,6
deportations,9.362344460290368,0.0022148865812448015,30,4
organizing,9.362344460290368,0.0022148865812448015,30,4
break,9.0803166669393,0.002583753050816484,23,2
rubble,9.0803166669393,0.002583753050816484,23,2
seeks,9.0803166669393,0.002583753050816484,23,2
sooner,9.0803166669393,0.002583753050816484,23,2
withdrawing,9.0803166669393,0.002583753050816484,23,2
bombing,9.074050466219285,0.0025926216221794363,41,8
resilience,9.06975142150207,0.002598723938605274,49,11
almost,9.038739412117499,0.0026431783538114484,99,32
massive,9.028541003698162,0.0026579654063694225,64,17
country,9.00878167925654,0.0026868546328934206,364,162
men,9.007343170637585,0.002688970220189657,54,13
wheat,9.007343170637585,0.002688970220189657,54,13
summit,8.962762308351035,0.002755379707759631,38,7
years,8.925183122624066,0.0028126515636917038,112,38
assault,8.904974477509022,0.0028439485296436473,26,3
killings,8.904974477509022,0.0028439485296436473,26,3
going,8.899665752726966,0.0028522286106049677,46,10
aggressors,8.853299052611769,0.002925596230509586,15,0
big,8.853299052611769,0.002925596230509586,15,0
desperate,8.853299052611769,0.002925596230509586,15,0
former,8.853299052611769,0.002925596230509586,15,0
idea,8.853299052611769,0.002925596230509586,15,0
kosovo,8.853299052611769,0.002925596230509586,15,0
liberation,8.853299052611769,0.002925596230509586,15,0
montenegro,8.853299052611769,0.002925596230509586,15,0
proxies,8.853299052611769,0.002925596230509586,15,0
reliable,8.853299052611769,0.002925596230509586,15,0
rocket,8.853299052611769,0.002925596230509586,15,0
courts,8.838258005321553,0.002949805685026785,19,1
cruelty,8.838258005321553,0.002949805685026785,19,1
rose,8.833150670777375,0.0029580724409445924,29,4
turned,8.833150670777375,0.0029580724409445924,29,4
zelenskyy's,8.833150670777375,0.0029580724409445924,29,4
government,8.738930196822844,0.003114872122074508,107,36
life,8.705970992996582,0.003171694273457315,98,32
lanes,8.518604931393522,0.0035153386640834894,22,2
mother,8.518604931393522,0.0035153386640834894,22,2
whole,8.370552666519202,0.003813496309657771,55,14
executions,8.362181767931332,0.0038311031138071883,25,3
bomb,8.307780361219828,0.003947560469456657,28,4
used,8.285258710160443,0.003996820983818483,90,29
federal,8.26304559646353,0.004046019421545921,14,0
girl,8.26304559646353,0.004046019421545921,14,0
imperial,8.26304559646353,0.004046019421545921,14,0
lavrov,8.26304559646353,0.004046019421545921,14,0
liberate,8.26304559646353,0.004046019421545921,14,0
madness,8.26304559646353,0.004046019421545921,14,0
terrorists,8.26304559646353,0.004046019421545921,14,0
uavs,8.26304559646353,0.004046019421545921,14,0
murder,8.25926869340778,0.004054445743790103,18,1
clearly,8.234856144520153,0.004109342940704641,62,17
donetsk,8.1784676680133,0.004239055400812042,69,20
organizations,8.170414900344461,0.004257916595719502,103,35
hold,8.050202355922293,0.004549857197336582,71,21
actions,8.009023458855273,0.00465448307679317,217,90
largest,8.002400050214698,0.004671538939028164,44,10
shelter,8.002400050214698,0.004671538939028164,44,10
blackmail,7.959381794098598,0.0047838751054419815,21,2
joining,7.959381794098598,0.0047838751054419815,21,2
kuleba,7.959381794098598,0.0047838751054419815,21,2
stopped,7.828481214699488,0.00514292962366647,41,9
barrage,7.822911557587024,0.005158802251453154,24,3
feed,7.822911557587024,0.005158802251453154,24,3
language,7.822911557587024,0.005158802251453154,24,3
perpetrated,7.822911557587024,0.005158802251453154,24,3
plans,7.822911557587024,0.005158802251453154,24,3
eight,7.816117993127376,0.00517823042961385,30,5
eyes,7.816117993127376,0.00517823042961385,30,5
hospital,7.786603082257028,0.005263506581872912,27,4
violated,7.786603082257028,0.005263506581872912,27,4
wounded,7.753550507282646,0.005360704828622498,46,11
inquiry,7.717695103955041,0.005468216471252507,77,24
arrest,7.681536968881727,0.005578863288493108,17,1
happens,7.681536968881727,0.005578863288493108,17,1
partner,7.681536968881727,0.005578863288493108,17,1
pattern,7.681536968881727,0.005578863288493108,17,1
shelled,7.681536968881727,0.005578863288493108,17,1
speaks,7.681536968881727,0.005578863288493108,17,1
waged,7.681536968881727,0.005578863288493108,17,1
never,7.639722981488426,0.0057096685227521204,146,56
carried,7.561794320337699,0.005961860442510236,43,10
moldova,7.531427780105299,0.006063183695657837,48,12
asia,7.404993117938845,0.006504309254963037,32,6
blame,7.4029859562442955,0.0065115703755947996,20,2
blockade,7.4029859562442955,0.0065115703755947996,20,2
evil,7.4029859562442955,0.0065115703755947996,20,2
old,7.4029859562442955,0.0065115703755947996,20,2
somalia,7.4029859562442955,0.0065115703755947996,20,2
tactic,7.4029859562442955,0.0065115703755947996,20,2
deliver,7.33221381620077,0.0067729582588620385,50,13
standing,7.315845260271999,0.006834924363048223,29,5
february,7.306966876099626,0.00686877698923527,111,40
late,7.287569736033947,0.006943333949916086,23,3
group,7.219937209411774,0.007209822962198076,71,22
hunger,7.121744777274966,0.007615455726579623,73,23
bosnia,7.1052839137691075,0.007685705059281678,16,1
heroic,7.1052839137691075,0.007685705059281678,16,1
monday,7.1052839137691075,0.007685705059281678,16,1
openly,7.1052839137691075,0.007685705059281678,16,1
vehicles,7.1052839137691075,0.007685705059281678,16,1
long,7.074422751343294,0.007819200800748494,150,59
flagrant,7.056726872159227,0.007896814840272603,34,7
later,6.937084626693186,0.008442660752825182,39,9
donbas,6.9244114441137095,0.008502697046073537,31,6
land,6.9036687481045025,0.008601905166699453,44,11
monitoring,6.9036687481045025,0.008601905166699453,44,11
information,6.852919551212566,0.00884965424543871,90,31
ahead,6.84982063354383,0.00886501722089783,19,2
bombed,6.84982063354383,0.00886501722089783,19,2
controlled,6.84982063354383,0.00886501722089783,19,2
ministry,6.84982063354383,0.00886501722089783,19,2
unleashed,6.84982063354383,0.00886501722089783,19,2
first,6.813222791210089,0.009048531115703362,245,107
accept,6.758560681222958,0.009329898470652243,25,4
person,6.758560681222958,0.009329898470652243,25,4
freezing,6.756627135168527,0.009340013699022154,22,3
p.m,6.756627135168527,0.009340013699022154,22,3
sure,6.756627135168527,0.009340013699022154,22,3
town,6.756627135168527,0.009340013699022154,22,3
odesa,6.725343136375438,0.009505244250124334,83,28
neighbour,6.698209639586838,0.00965097725277908,41,10
control,6.694645901592149,0.009670287307414593,74,24
envoy,6.530785880616644,0.010602310368618695,15,1
fields,6.530785880616644,0.010602310368618695,15,1
herzegovina,6.530785880616644,0.010602310368618695,15,1
hide,6.530785880616644,0.010602310368618695,15,1
memory,6.530785880616644,0.010602310368618695,15,1
soil,6.530785880616644,0.010602310368618695,15,1
stories,6.530785880616644,0.010602310368618695,15,1
overwhelming,6.500623576776093,0.010783666500346456,38,9
children's,6.48792224231336,0.010860984696421383,43,11
inflicted,6.449929255014602,0.01109567603609074,30,6
mission,6.372986606977217,0.011587042471263076,64,20
service,6.332191410981366,0.01185657239788851,27,5
village,6.313105408821044,0.011984874021880754,35,8
charter,6.304025094390743,0.012046414183731424,497,241
block,6.3003696848647115,0.012071279581642336,18,2
extraordinary,6.3003696848647115,0.012071279581642336,18,2
impose,6.3003696848647115,0.012071279581642336,18,2
invaded,6.3003696848647115,0.012071279581642336,18,2
quite,6.3003696848647115,0.012071279581642336,18,2
border,6.2759351849646725,0.012238851330831468,40,10
ago,6.27175138310446,0.012267782547155659,122,47
assembly,6.270813181384774,0.012274279900362894,183,77
aerial,6.252716829682156,0.012400297088542622,24,4
declaration,6.230633058879645,0.012555884090805325,21,3
opened,6.230633058879645,0.012555884090805325,21,3
